"item","Jan/jan","Feb/fev","Mar/mar","Apr/avr","May/mai","Jun/jui","Jul/jui","Aug/aou","Sep/sep","Oct/oct","Nov/nov","Dec/dec","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"REGINA* Pump Price / Prix au detail","149.5",156.9,153.7,138.8,135.2,132.8,131.8,139.4,139.7,131.9,129.1,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","29.5",33.7,34.8,37.5,40.6,34.3,35.4,40.8,39.6,35.8,38.4,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","8.1",14.8,11.9,15.7,11.9,10.8,9.6,14.5,16.9,16.3,11.6,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","49.7",50.1,49.9,31.6,31.4,31.3,31.3,31.6,31.7,31.3,31.2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","7.1",7.5,7.3,6.6,6.4,6.3,6.3,6.6,6.7,6.3,6.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","32.6",32.6,32.6,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINNIPEG Pump Price / Prix au detail","148",155.6,153,132.2,132.4,132.2,134.6,138,135.3,127,130.6,116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","30.1",34.3,35.4,38.1,41.2,34.9,36,41.4,40.2,36.4,39,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","9.1",15.4,13.1,11.3,11.1,12.2,14.2,15,14.6,13.5,15,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","46.6",47.5,47.4,28.8,28.8,28.8,28.9,29.1,29,28.6,28.7,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","7",7.4,7.3,6.3,6.3,6.3,6.4,6.6,6.4,6,6.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","30.1",30.1,30.1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY OF TORONTO* Pump Price / Prix au detail","156.1",155.7,153.6,133.4,136.7,136.6,135.7,136.3,139.4,133.1,137.2,126.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
